"0x230A 'Objects\TC1.A0007'"	"0x1100"	"A0007"	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "
"0x230A 'Objects\TC1.A0008'"	"0x1100"	"A0008"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"
"0x230A 'Objects\TC1.A0009'"	"0x1100"	"A0009"	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "
"0x230A 'Objects\TC1.A0010'"	"0x1100"	"A0010"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"
"0x230A 'Objects\TC1.A0011'"	"0x1100"	"A0011"	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "
"0x230A 'Objects\TC1.A0012'"	"0x1100"	"A0012"	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "
"0x230A 'Objects\TC1.A0013'"	"0x1100"	"A0013"	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "	"A0013:SGP2A - Compressor 1 circuit 2 discharge temperature probe "
"0x230A 'Objects\TC1.A0014'"	"0x1100"	"A0014"	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "	"A0014:SL1 - Liquid temperature circuit 1 "
"0x230A 'Objects\TC1.A0015'"	"0x1100"	"A0015"	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "	"A0015:SL2 - Liquid temperature circuit 2 "
"0x230A 'Objects\TC1.A0017'"	"0x1100"	"A0017"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"	"A0017:SGP1B - Compressor 2 circuit 1 discharge temperature probe"
"0x230A 'Objects\TC1.A0018'"	"0x1100"	"A0018"	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "	"A0018:SGP2B - Compressor 2 circuit 2 discharge temperature probe "
"0x230A 'Objects\TC1.A0198'"	"0x1100"	"A0198"	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "	"A0198:Current system setpoint "
"0x230A 'Objects\TC1.A0204'"	"0x1100"	"A0204"	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "	"A0204:Setpoint 1, summer "
"0x230A 'Objects\TC1.A0205'"	"0x1100"	"A0205"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"	"A0205:Setpoint 2, summer"
"0x230A 'Objects\TC1.A0206'"	"0x1100"	"A0206"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"	"A0206:Set point 1, winter"
"0x230A 'Objects\TC1.A0207'"	"0x1100"	"A0207"	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "	"A0207:Set point 2, winter "
"0x230B 'Objects\TC1.IR001'"	"0x1100"	"IR001"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"	"IR001:Plant On/Off mode (0=OFF; 1=ON; 2=�ECONOMY�; 3=BY CLOCK)"
"0x230B 'Objects\TC1.IR003'"	"0x1100"	"IR003"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"	"IR003: Mode selection (Summer/Winter) (0=Summer; 1=Winter; 2=by Ex"
"0x230A 'Objects\TC1.IR006'"	"0x1100"	"IR006"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"	"IR006:Plant active power (0...100%)"
"0x230B 'Objects\TC2.D0001'"	"0x1100"	"D0001"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"	"D0001:Unit status"
"0x230B 'Objects\TC2.D0030'"	"0x1100"	"D0030"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"	"D0030:MPO1 - Evaporator pump 1"
"0x230B 'Objects\TC2.D0031'"	"0x1100"	"D0031"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"	"D0031:MPO2 - Evaporator pump 2"
"0x230B 'Objects\TC2.D0036'"	"0x1100"	"D0036"	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "	"D0036:CP1A - Compressor 1 circuit 1 "
"0x230B 'Objects\TC2.D0037'"	"0x1100"	"D0037"	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "	"D0037:CP1B - Compressor 2 circuit 1 "
"0x230B 'Objects\TC2.D0039'"	"0x1100"	"D0039"	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "	"D0039:CP2A - Compressor 1 circuit 2 "
"0x230B 'Objects\TC2.D0040'"	"0x1100"	"D0040"	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "	"D0040:CP2B - Compressor 2 circuit 2 "
"0x230B 'Objects\TC2.D0097'"	"0x1100"	"D0097"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"	"D0097:Alarm circuit 1"
"0x230B 'Objects\TC2.D0098'"	"0x1100"	"D0098"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"	"D0098:Alarm circuit 2"
"0x230B 'Objects\TC2.D0099'"	"0x1100"	"D0099"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"	"D0099:Unit defrost state (1 = defrost in progress)"
"0x230B 'Objects\TC2.D0100'"	"0x1100"	"D0100"	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "	"D0100:AE - alarms summary "
"0x230A 'Objects\TC2.A0001'"	"0x1100"	"A0001"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"	"A0001:SUW - Outlet water evaporator temperature"
"0x230A 'Objects\TC2.A0002'"	"0x1100"	"A0002"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"	"A0002:SIW - Inlet water evaporator temperature"
"0x230A 'Objects\TC2.A0007'"	"0x1100"	"A0007"	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "	"A0007:TAP1 - High pressure circuit 1 "
"0x230A 'Objects\TC2.A0008'"	"0x1100"	"A0008"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"	"A0008:TBP1 - Low pressure circuit 1"
"0x230A 'Objects\TC2.A0009'"	"0x1100"	"A0009"	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "	"A0009:TAP2 - High pressure circuit 2 "
"0x230A 'Objects\TC2.A0010'"	"0x1100"	"A0010"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"	"A0010:TBP2 - Low pressure circuit 2"
"0x230A 'Objects\TC2.A0011'"	"0x1100"	"A0011"	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "	"A0011:TAE - External air temperature "
"0x230A 'Objects\TC2.A0012'"	"0x1100"	"A0012"	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "	"A0012:SGP1A - Compressor 1 circuit 1 discharge temperature probe "
