"0x2207 'IO\IO.M0.DO.C4.Cmd'"	"0x010D"	"IO.M0.DO.C4.Cmd"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"	"C4-Crp gr.sanitarne vode"
"0x2207 'IO\IO.M0.DO.C5.Cmd'"	"0x010D"	"IO.M0.DO.C5.Cmd"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"	"C5-Crp grelnik zraka"
"0x2207 'IO\IO.M0.DO.C1.Cmd'"	"0x010D"	"IO.M0.DO.C1.Cmd"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"	"C1-Crp hladilna greda 1/2"
"0x2207 'IO\IO.M0.DO.ALARM.Cmd'"	"0x010D"	"IO.M0.DO.ALARM.Cmd"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"	"ALARM-Skupni alarm"
"0x2207 'IO\IO.M0.DO.C11.Cmd'"	"0x010D"	"IO.M0.DO.C11.Cmd"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"	"C11-Crp hladilna greda 2/2"
"0x2203 'IO\IO.M1.AI.BTS1.Val'"	"0x010D"	"IO.M1.AI.BTS1.Val"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"	"BTS1-Tlak odpadna energija primar"
"0x2203 'IO\IO.M1.AI.BTS2.Val'"	"0x010D"	"IO.M1.AI.BTS2.Val"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"	"BTS2-Tlak odpadna energija sekundar"
"0x2203 'IO\IO.M1.AI.BTS3.Val'"	"0x010D"	"IO.M1.AI.BTS3.Val"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"	"BTS3-Tlak sistem hlajenja"
"0x2203 'IO\IO.M1.AI.BTRrH.Val'"	"0x010D"	"IO.M1.AI.BTRrH.Val"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"	"BTRrH-rel.vlaga zunanja"
"0x2203 'IO\IO.M1.AI.BTRT.Val'"	"0x010D"	"IO.M1.AI.BTRT.Val"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"	"BTRT-T. zunanja"
"0x2204 'IO\IO.M1.Alm.C3.Val'"	"0x010D"	"IO.M1.Alm.C3.Val"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"	"C3-Crp dovod odpadne toplote-motnja"
